region,parish,cases_cumul,date
4,Acadia,,3/14/2020
4,Acadia,,3/15/2020
4,Acadia,,3/16/2020
4,Acadia,,3/17/2020
4,Acadia,,3/18/2020
4,Acadia,,3/19/2020
4,Acadia,,3/20/2020
4,Acadia,,3/21/2020
4,Acadia,1,3/22/2020
4,Acadia,1,3/23/2020
4,Acadia,2,3/24/2020
4,Acadia,2,3/25/2020
4,Acadia,4,3/26/2020
4,Acadia,8,3/27/2020
4,Acadia,9,3/28/2020
4,Acadia,9,3/29/2020
4,Acadia,11,3/30/2020
4,Acadia,39,3/31/2020
4,Acadia,47,4/1/2020
4,Acadia,61,4/2/2020
4,Acadia,72,4/3/2020
4,Acadia,65,4/4/2020
4,Acadia,75,4/5/2020
4,Acadia,79,4/6/2020
4,Acadia,82,4/7/2020
4,Acadia,86,4/8/2020
4,Acadia,89,4/9/2020
4,Acadia,94,4/10/2020
4,Acadia,98,4/11/2020
4,Acadia,99,4/12/2020
4,Acadia,101,4/13/2020
4,Acadia,104,4/14/2020
4,Acadia,105,4/15/2020
4,Acadia,108,4/16/2020
4,Acadia,110,4/17/2020
4,Acadia,110,4/18/2020
4,Acadia,110,4/19/2020
4,Acadia,114,4/20/2020
4,Acadia,114,4/21/2020
4,Acadia,117,4/22/2020
4,Acadia,117,4/23/2020
4,Acadia,129,4/24/2020
4,Acadia,130,4/25/2020
4,Acadia,130,4/26/2020
4,Acadia,130,4/27/2020
4,Acadia,130,4/28/2020
4,Acadia,130,4/29/2020
4,Acadia,130,4/30/2020
4,Acadia,133,5/1/2020
4,Acadia,133,5/2/2020
4,Acadia,134,5/3/2020
4,Acadia,134,5/4/2020
4,Acadia,136,5/5/2020
4,Acadia,140,5/6/2020
4,Acadia,142,5/7/2020
4,Acadia,142,5/8/2020
4,Acadia,151,5/9/2020
4,Acadia,148,5/10/2020
4,Acadia,152,5/11/2020
4,Acadia,152,5/12/2020
4,Acadia,151,5/13/2020
4,Acadia,159,5/14/2020
4,Acadia,189,5/15/2020
4,Acadia,192,5/16/2020
4,Acadia,198,5/17/2020
4,Acadia,257,5/18/2020
4,Acadia,262,5/19/2020
4,Acadia,262,5/20/2020
4,Acadia,269,5/21/2020
4,Acadia,289,5/22/2020
4,Acadia,290,5/23/2020
4,Acadia,291,5/24/2020
4,Acadia,299,5/25/2020
4,Acadia,395,5/26/2020
4,Acadia,397,5/27/2020
4,Acadia,401,5/28/2020
4,Acadia,412,5/30/2020
4,Acadia,418,5/31/2020
4,Acadia,422,6/1/2020
4,Acadia,428,6/2/2020
4,Acadia,446,6/3/2020
4,Acadia,462,6/4/2020
4,Acadia,467,6/5/2020
4,Acadia,500,6/6/2020
4,Acadia,502,6/7/2020
4,Acadia,513,6/8/2020
4,Acadia,517,6/9/2020
4,Acadia,520,6/10/2020
4,Acadia,529,6/11/2020
4,Acadia,535,6/12/2020
4,Acadia,577,6/13/2020
4,Acadia,583,6/14/2020
4,Acadia,597,6/15/2020
4,Acadia,604,6/16/2020
4,Acadia,625,6/17/2020
5,Allen,,3/14/2020
5,Allen,,3/15/2020
5,Allen,,3/16/2020
5,Allen,,3/17/2020
5,Allen,,3/18/2020
5,Allen,,3/19/2020
5,Allen,,3/20/2020
5,Allen,,3/21/2020
5,Allen,,3/22/2020
5,Allen,2,3/23/2020
5,Allen,2,3/24/2020
5,Allen,2,3/25/2020
5,Allen,5,3/26/2020
5,Allen,5,3/27/2020
5,Allen,7,3/28/2020
5,Allen,9,3/29/2020
5,Allen,11,3/30/2020
